AssessmentName,QuestionNumber,Subject[0].subjectId,Subject[0].subjectName,GradeLevel,ContentSubType,ContentSubSubType,QuestionText,Rubrics[0].score,Rubrics[1].score,Rubrics[2].score,Rubrics[3].score,Rubrics[0].criteria,Rubrics[1].criteria,Rubrics[2].criteria,Rubrics[3].criteria,Rubrics[0].rubricId,Rubrics[1].rubricId,Rubrics[2].rubricId,Rubrics[3].rubricId,Skills[0].skillId,Skills[1].skillId,Skills[2].skillId,Skills[0].skillName,Skills[1].skillName,Skills[2].skillName
Grade 6 — English,12,3,English,6,openEnded,shortAnswer,"The opposite of ""up"" is?",1,,,,Writes the correct opposite of 'up' as 'down' (1 mark),,,,2Uy5tF8KahYLA081_XmJd,,,,523,,,Vocabulary,,
Grade 6 — English,13,3,English,6,openEnded,shortAnswer,"The opposite of ""slow"" is?",1,,,,Writes the correct opposite of 'slow' as 'fast' (1 mark),,,,VxQ4vd37xDa_XR3Vd-yrq,,,,523,,,Vocabulary,,
Grade 6 — English,14,3,English,6,openEnded,shortAnswer,Imagine you are a bird. Write one sentence about your day.,1,,,,"Writes a clear, creative, and grammatically correct sentence from the perspective of a bird.",,,,gHb9dclqVPGF2i7n33EfP,,,,525,,,Writing Clear and Organized Ideas,,
Grade 6 — English,15,3,English,6,openEnded,shortAnswer,Write two sentences about your best friend.,1,,,,Writes two relevant and grammatically correct sentences describing the best friend.,,,,WMS562Gdk1qGTi5oW5eDQ,,,,525,,,Writing Clear and Organized Ideas,,
Grade 6 — English,16,3,English,6,openEnded,shortAnswer,"Write a short paragraph (6-8 lines) on ""My favorite season."" Talk about what you like to do, what you eat or wear, and why you like it.",1,2,1,,"Names the favorite season (such as 'winter', 'summer', 'monsoon', or 'spring'). (1 mark)",Writes anything about this season and related to it. Award full 2 marks for this rubric if anything related to the season is mentioned.,Clearly explains why that season is their favorite.,,kxqhrcjviewIXZpxH2TZY,6aow8odWcOyyM9gJdz7DE,0Q4fn4SiCooKYYwCSBwOa,,525,,,Writing Clear and Organized Ideas,,
Grade 6 — Maths,1,1,Mathematics,6,openEnded,shortAnswer,Write all the factors of 68.,1,,,,"For listing all the correct factors: 1, 2, 4, 17, 34, 68. (The order of the numbers does not matter).",,,,YjJ1hQrXsXX92hXcIKIVE,,,,484,,,Understanding and Using Number Properties,,
Grade 6 — Maths,2,1,Mathematics,6,openEnded,shortAnswer,What is the place value of 5 in 7560?,1,,,,For the correct answer of 500 or Hundreds.,,,,mtL3_5Sr2rA1B0WjH7gtv,,,,485,,,Understanding and Ordering Numbers,,
Grade 6 — Maths,3,1,Mathematics,6,openEnded,shortAnswer,"Arrange in ascending order: `3367, 5492, 736, 4799`",0.5,0.5,,,For correctly identifying the smallest number (736) and placing it first.,"For correctly arranging the remaining three numbers in ascending order after the first one (3367, 4799, 5492).",,,JoNwR6on-OQo2fBJPxUi7,YYdiD9QBrjNTfPba5cIqn,,,485,,,Understanding and Ordering Numbers,,
Grade 6 — Maths,4,1,Mathematics,6,openEnded,shortAnswer,"Find the Least Common Multiple (L.C.M.) of 12, 15, and 20.",1,1,,,"Demonstrates a correct method for finding the LCM (e.g., prime factorization or common division method).","Calculates the correct LCM, which is 60.",,,PghexN4DH874uzht75Xx2,SLgLMDoDhamipt6xx5LHE,,,484,487,,Understanding and Using Number Properties,Solving Problems with Numbers,
Grade 6 — Maths,5,1,Mathematics,6,openEnded,shortAnswer,What is the sum of the smallest and largest 5-digit palindrome? Write their difference also.,1,1,,,"For correctly calculating the sum.\n(Smallest 5-digit palindrome = 10,001; Largest = 99,999)\nSum = 10,001 + 99,999 = 110,000","For correctly calculating the difference.\nDifference = 99,999 - 10,001 = 89,998",,,Sw-FHUPHxgoeQCNV0A1Me,OyaEwquFUy3EsRZv6AUbZ,,,484,487,,Understanding and Using Number Properties,Solving Problems with Numbers,
Grade 6 — Maths,6,1,Mathematics,6,openEnded,shortAnswer,You are given a rectangle whose length is `5` cm and width is `4` cm and a square whose side is `5` cm. Which of the two will have greater area and by how much?,1,1,,,Calculates area of rectangle as `5 * 4 = 20 sq.cm` and area of square as `5 * 5 = 25 sq.cm`.,"Identifies that the square has greater area by `5 sq.cm`, with a difference of 1 cm².",,,XhoCYn1UYYqmE2jwHuk3g,sy2HZmY4YoKh4tJS8tGYE,,,486,487,44,Understanding Shapes and Measurement,Solving Problems with Numbers,Perimeter and Area
Grade 6 — Maths,7,1,Mathematics,6,openEnded,shortAnswer,"At `10` am in the morning, the temperature of Jodhpur was `30^0 C`. If the temperature increases by `2^0 C` per hour, then what will be the temperature of Jodhpur at 4:00 in the evening?",1,1,,,Calculates the time elapsed from `10:00` am to `4:00` pm as `6` hours.,Finds total temperature increase: `6 * 2 = 12`; Final temperature: `30 + 12 = 42^0 C`.,,,lGmk_Vg3Xgi3GoLW6c52u,OF0IC_SsKKy-G4qxSEp8e,,,487,,,Solving Problems with Numbers,,
Grade 6 — Maths,8,1,Mathematics,6,openEnded,shortAnswer,A rectangle has a length of `15` cm and a breadth of `8` cm. Find its area and perimeter.,1,1,,,Correctly calculates the area as 120 sq. cm (or 120 cm²).,Correctly calculates the perimeter as 46 cm.,,,kOPpgDjFUoDRPJx0BYRaa,6UcKQFW3NVrtv4MVPL0-o,,,486,487,44,Understanding Shapes and Measurement,Solving Problems with Numbers,Perimeter and Area
Grade 6 — Maths,9,1,Mathematics,6,openEnded,shortAnswer,Find the angle `x` in the given figure.,0.5,0.5,,,Finds the angle C of the triangle to be 80 degrees,Correctly calculates x as 180 - 80 = 100 degrees,,,4V75a88D4eIK4LTQuUou0,-2we0mwezmdUspU04-GVb,,,486,487,40,Understanding Shapes and Measurement,Solving Problems with Numbers,Lines and Angles
Grade 6 — Maths,10,1,Mathematics,6,openEnded,shortAnswer,Use a protractor to draw angle having the following angles - a) 110° and b) 40°,1,1,,,For correctly drawing 110° angle.,For correctly drawing 40° angle.,,,N9EnDbPbGLAQ536HKAWkO,C86GWDat3hGCeavtXWuZu,,,486,40,,Understanding Shapes and Measurement,Lines and Angles,
Grade 6 — Maths,11,1,Mathematics,6,openEnded,shortAnswer,A shopkeeper has two bags of fertiliser with weights of `75` kg and `69` kg. Find the maximum value of a weight that can measure the weight of the fertiliser in both bags an exact number of times.,0.5,1,0.5,,Correctly identifies that the problem requires finding the Highest Common Factor (HCF) of 75 and 69.,Shows the correct procedure for calculating the HCF of 75 and 69.,Provides the final correct answer of 3 kg.,,dRKffsZzds4D7286YqOub,uqyuzRP_LmX2_XhZS8DmY,LmFHXlSXovlFJQdnfKGa4,,484,487,,Understanding and Using Number Properties,Solving Problems with Numbers,
Grade 6 — Maths,12,1,Mathematics,6,openEnded,shortAnswer,A student has `112` pencils and `10` empty boxes. What is the minimum number of pencils required to put equal number of pencils in each box? Also find how many pencils are there in each box.,0.5,0.5,1,,Finds how many pencils would go into each box with the current total: 112 ÷ 10 = 11 remainder 2 (or recognises remainder).,Works out the minimum number of extra pencils needed to make the total divisible by 10 (i.e. add 8 pencils to get 120 pencils).,States correctly how many pencils will then be in each box (120 ÷ 10 = 12 pencils per box).,,JiKl1UBFj7KaSu1uKtQDU,cuN2v_qhL25GSK9KvwYS2,zYugDBQMJa2AzoPA4nrmD,,487,,,Solving Problems with Numbers,,
Grade 6 — Science,1,2,Science,6,openEnded,shortAnswer,What will you observe when the North pole of one bar magnet is brought near the North pole of another bar magnet?,1,,,,Correctly states that the magnets will push away or repel each other.,,,,DWwA2ZoPSrhEfaNQAYQnY,,,,491,,,Understanding how magnets work,,
Grade 6 — Science,2,2,Science,6,openEnded,shortAnswer,Name the process through which plants make their own food and identify the plant part that is known as its 'kitchen'.,0.5,0.5,,,Correctly names the process as Photosynthesis.,Correctly identifies the plant part as the Leaf.,,,tqD1XSAUAWd78hYE-TGTe,z0p8-aGu8jsL-XiLggk7V,,,535,,,Understanding Living Organisms and Life Processes,,
Grade 6 — Science,3,2,Science,6,openEnded,shortAnswer,Differentiate between living and non-living things by providing two key characteristics for each.,0.5,0.5,1,,"Provides one valid characteristic of living things (e.g., they grow, breathe/respire, reproduce, need food).","Provides a second, different valid characteristic of living things.","Correctly contrasts the two chosen characteristics by stating their absence in non-living things (e.g., they do not grow, they do not respire).",,WhKnAWMY0HkwvrUe56VN3,eDvFNSsOgvmnxF67-RWOT,UTviy3rs-17akIQMYWerv,,535,,,Understanding Living Organisms and Life Processes,,
Grade 6 — Science,4,2,Science,6,openEnded,shortAnswer,"During summer, people prefer to wear cotton clothes. Explain this preference by describing one property of cotton that makes it suitable for hot weather.",1,1,,,"Identifies a correct property of cotton (e.g., good absorber of water/sweat, OR it is porous/allows air to pass through).","Correctly explains how this property helps keep the body cool (e.g., it absorbs sweat which then evaporates, causing a cooling effect).",,,7S4S7WpeekWv_1xAD0Z1H,z0HK3m9GkoSzqMhM-x7Ck,,,500,502,,Understanding Properties and Changes of Materials,Applying Science to Everyday Life,
Grade 6 — Science,5,2,Science,6,openEnded,shortAnswer,Describe the simple procedure to test for the presence of starch in a potato slice and state the final observation that confirms starch is present.,1,1,,,For explaining the test involves putting iodine (or iodine solution) on the potato.,"For correctly stating that if starch is present, the potato will turn dark blue / black / blue-black (or a very dark color).",,,SoO5ODH65r7XYtfW9u4Hw,nUCTLSwKW1rgxsMCphJxE,,,496,,,Making Healthy Food Choices and Identifying Food Components,,
Grade 6 — Science,6,2,Science,6,openEnded,shortAnswer,Explain adaptations in desert plants.,1,1,,,"For clearly describing one way a desert plant is specially built or behaves to either save water (e.g., small leaves, thick skin, storing water) or get water (e.g., long roots, wide roots, deep roots and not shallow).","For clearly describing a second, different way a desert plant is specially built or behaves to survive in the desert (e.g., another method of water management, or a way to handle heat, or protect itself from animals).",,,_pvkR8oUU0VAdV8FebXPK,jpsYmyyqovppnjw7fzhRl,,,535,,,Understanding Living Organisms and Life Processes,,
Grade 6 — Science,7,2,Science,6,openEnded,shortAnswer,Kartik's food chart shows that he has ate a lot of fruits and vegetables but no milk. What is missing in his diet? Prepare diet chart for growing children of your age.,1,1,,,"For correctly identifying ""milk"" (or dairy products/calcium) as the missing component in Kartik's diet.","Prepare an age-appropriate balanced diet chart for growing children, mentioning food groups (such as dairy, fruits, vegetables, protein, cereals, etc.). Award marks if two or more of these food groups are mentioned.",,,U08KI5Yu7ETqpEUfNRDP4,up91Xh9Uk5_EZIQFH-dU1,,,496,,,Making Healthy Food Choices and Identifying Food Components,,
Grade 6 — Science,8,2,Science,6,openEnded,shortAnswer,A plant show stunted growth and yellowing of leaves. What can you infer from this evidence about plant needs? Explain.,1,1,,,For inferring that the plant is likely experiencing a deficiency of nutrients/minerals (especially nitrogen) OR is lacking sufficient sunlight OR water. Award marks if any of this is mentioned.,"For briefly explaining how this deficiency/lack leads to the observed symptoms (e.g., lack of nitrogen/sunlight impairs chlorophyll production causing yellowing; lack of nutrients/water hinders overall growth causing stuntedness). Award marks if any of these caused of these evidence is mentioned.",,,cywBbQKS_n2AbGT0zCwAt,QHhXPSNEbstLCXgStkWTx,,,535,,,Understanding Living Organisms and Life Processes,,
Grade 6 — Science,9,2,Science,6,openEnded,shortAnswer,Vitamins and minerals are essential for our health. \n(a) Explain why they are often called 'protective foods'. \n(b) Name one disease caused by the deficiency of a vitamin and one disease caused by the deficiency of a mineral.,1,1,1,,For (a): Correctly explains that they are called 'protective foods' because they help our body fight against diseases and keep us healthy.,"For (b): Names a correct disease caused by vitamin deficiency (e.g., Scurvy - Vit C, Night blindness - Vit A, Rickets - Vit D).","For (b): Names a correct disease caused by mineral deficiency (e.g., Goitre - Iodine, Anaemia - Iron).",,PPwsW5aplUVzgSX0_SJSu,XuQ28_cMaY9dIGBDiVApZ,55I3Z2gDxtfZmvHyhdck6,,496,,,Making Healthy Food Choices and Identifying Food Components,,
Grade 6 — Science,10,2,Science,6,openEnded,shortAnswer,"A student observed the growth of a plant under three different conditions for 10 days. The data is in the table below. Look at the data and answer the questions: \n(a) Which condition is the most favourable for the plant's growth? \n(b) Explain why the growth is least in darkness. \n(c) Name the biological process that is hindered in darkness, causing this poor growth.",1,1,1,,For (a): Correctly identifies 'Full Sunlight' based on the data table.,"For (b): Provides a clear explanation linking darkness to the plant's inability to make food, which is necessary for growth.",For (c): Correctly names the process as 'Photosynthesis'.,,VA5d_PUFvFIEBv2X7kjve,Y4eDiAG9bgaCPUyhQNkpa,QivntHbTAglxp_WTO-_eg,,535,,,Understanding Living Organisms and Life Processes,,
Grade 6 — Social Science,1,18,Social Science,6,openEnded,shortAnswer,Name any two major mountain ranges located in India.,0.5,0.5,,,"Names one correct mountain range (e.g., Himalayas, Aravalli, Vindhya, Satpura, Western Ghats, Eastern Ghats).",Names a second correct mountain range.,,,d4vFZvkAqHb5Ea_GE1RK_,Wu6IAcI0HtiWFGT8Qx88c,,,518,,,Understanding Natural Environment & Resources,,
Grade 6 — Social Science,2,18,Social Science,6,openEnded,shortAnswer,Name any two famous kings from the medieval period of Rajasthan.,0.5,0.5,,,"Names one correct king (e.g., Maharana Pratap, Prithviraj Chauhan, Rana Sanga, Raja Man Singh, Rana Kumbha).",Names a second correct king.,,,IvfaR6gnRyGCVZYDV1ed6,sX_tR3-WrwmL4_ZTXKpK9,,,510,,,Exploring Historical Places and Events,,
Grade 6 — Social Science,3,18,Social Science,6,openEnded,shortAnswer,Which festival of Rajasthan is celebrated in this picture? And please describe how people celebrate it?,0.5,0.5,,,For correctly identifying festival name as Gangaur or Dhinga Gavar.,For correctly stating celebration ritual for the gangaur festival.,,,Y6AIUUuQsYXi_n2o-k982,m6AO10S5Z00N6auIbm3JA,,,536,,,Appreciating India's Cultural and Historical Heritage,,
Grade 6 — Social Science,4,18,Social Science,6,openEnded,shortAnswer,Name the one major landforms found in Rajasthan and briefly describe it.,0.5,0.5,,,Correctly names the one major landforms: The Thar Desert (or Marusthali) or the Aravalli Range.,"Provides a brief, accurate description of one of them (e.g., for Thar Desert: 'It is a large, sandy and dry region with very little rainfall.' OR for Aravalli Range: 'It is an old mountain range that runs through the state and affects its climate').",,,K_X6LMOfhMdpyreBBldFJ,x9G94vu5jhdbSu57JgqTB,,,518,,,Understanding Natural Environment & Resources,,
Grade 6 — Social Science,5,18,Social Science,6,openEnded,shortAnswer,What was the main occupation of people during the Vedic period? Describe one key aspect of this occupation.,1,1,,,For correctly identifying the main occupation as either pastoralism / cattle rearing / animal husbandry OR farming / agriculture.,"For accurately describing one key aspect specific to the chosen occupation (e.g., if pastoralism: cattle as wealth/nomadic life; if farming: cultivation of crops/settled life, etc).",,,iHSuHMn21epyI59QYkfyR,FXFZuWg5yyHbIEJ0M7f-q,,,517,,,Understanding Early Civilizations,,
Grade 6 — Social Science,6,18,Social Science,6,openEnded,shortAnswer,Differentiate between archaeological sources and literary sources of history by giving one example for each.,1,1,,,"For defining archaeological sources as physical remains/material evidence (e.g., objects, structures, ruins, inscriptions on stone)\nAND providing a correct example (e.g., pottery, coins, inscriptions, monuments, tools).","For defining literary sources as written accounts/texts (e.g., manuscripts, books, chronicles)\nAND providing a correct example (e.g., Vedas, Puranas, manuscripts, books, travelogues).",,,044d2b5e-252c-49da-a643-86cedc472105,60032acf-9b74-4aea-b0e6-6ce1e16146b6,,,517,,,Understanding Early Civilizations,,
Grade 6 — Social Science,7,18,Social Science,6,openEnded,shortAnswer,Mention any two natural resources found in Rajasthan and explain how one of them influences the lives of the people there.,1,1,,,"Mentions two correct natural resources (e.g., water, Marble, Copper, Sandstone, Gypsum, mica, limestone, zinc, salt, Sunlight for solar energy, Wind for wind energy).","For accurately explaining how one of the mentioned resources influences the lives of the people (e.g., water scarcity impacting agriculture/daily life/conservation; minerals providing employment/industry/economic impact).",,,PN8Dd48ZCunQyHEOiqCL7,2HUL_Z578QL9h4-Gideyr,,,518,,,Understanding Natural Environment & Resources,,
Grade 6 — Social Science,8,18,Social Science,6,openEnded,shortAnswer,Name any two rights of children in India and explain the importance of one of them.,1,1,,,"For correctly identifying any two distinct rights pertaining to children in India, recognizing both formal legal rights and commonly understood fundamental entitlements for child well-being.","For providing any plausible and accurate explanation of the importance of one of the mentioned rights, linking its significance/ importance to a child.",,,954f1e0e-f1e3-4533-9ff8-344e5d07dc1e,21893269-01ee-42bb-aea0-7eb869e08c4a,,,511,,,Understanding Community Rules and Rights,,
Grade 6 — Social Science,9,18,Social Science,6,openEnded,shortAnswer,"Name two famous historical monuments in Rajasthan. For one of them, mention which city it is located in and why it is famous.",1,1,,,For correctly naming any two distinct famous historical monuments in Rajasthan.,For accurately identifying the city where one of the named monuments is located AND providing a plausible reason for its fame/significance.,,,VvuJoUxkeF8nnTHc0LRWE,0cczSPlemdOm1qJHClmMs,,,510,,,Exploring Historical Places and Events,,
Grade 6 — Social Science,10,18,Social Science,6,openEnded,shortAnswer,Name any two important fairs or festivals celebrated in Rajasthan. Describe in one sentence the main attraction or significance of one of them.,1,1,,,For correctly naming any two distinct important fairs or festivals celebrated in Rajasthan.,"For accurately describing, the main attraction or significance of one of the named fairs/festivals.",,,EdD6QVhynFDAUUC4-8lzj,we_w5KqDTHvZJs3kAItqP,,,509,,,Appreciating Rajasthan's Culture and History,,
Grade 6 — Social Science,11,18,Social Science,6,openEnded,shortAnswer,Why is it important to follow traffic rules? Give two reasons. How does following these rules help the entire community to function smoothly?,1,1,,,For providing two distinct and plausible reasons why following traffic rules is important. Accept any two valid and logical reasons that demonstrate an understanding of the necessity of rules on the road,For providing a clear and sensible explanation of how following these rules helps the entire community to function smoothly. Accept any valid and logical explanation that links traffic rule adherence to broader community benefits,,,bTYYDsgF3JsTfpo4bmVwr,t0zdhyWE2gPcybZK2BrpA,,,511,,,Understanding Community Rules and Rights,,
Grade 6 — Social Science,12,18,Social Science,6,openEnded,shortAnswer,Why are lions shown on Indian currency notes? Explain,1,1,,,Correctly identifies that the lions are from the Lion Capital of Ashoka and that this is India's National Emblem,"Explains the significance of the symbol, mentioning at least two of its core meanings, such as power, courage, pride, or its connection to India's historical heritage from the Mauryan Empire",,,CZcZL0zp_-D28v9EtQapW,ThsYD1CisQ0RAqCZj5yDL,,,536,,,Appreciating India's Cultural and Historical Heritage,,
Grade 7 — English,1,3,English,7,openEnded,shortAnswer,What were the three questions the king wanted to answer?,1,,,,"The king wanted to answer (based on the reading passage) the right time to do everything, the right thing to do, and the right people to work with.",,,,VoOMq3syTgNZi8d0z20xw,,,,1,,,Reading Comprehension,,
Grade 7 — English,2,3,English,7,openEnded,shortAnswer,Why did the king announce a reward?,1,,,,"Provides the correct reason (e.g., to find someone who could answer his three questions). or any similar reason.",,,,UmmfCdwGZU4XgUEHK8KzU,,,,1,,,Reading Comprehension,,
Grade 7 — English,3,3,English,7,openEnded,shortAnswer,Why the king felt he would never fail if he knew the answers to his questions? Explain in 2-3 sentences.,1,,,,"The king wanted to answer (based on the reading passage) the right time to do everything, the right thing to do, and the right people to work with. Any valid reason.",,,,yFKnt5KZ_-6Yv3uiqslt2,,,,1,,,Reading Comprehension,,
Grade 7 — English,4,3,English,7,openEnded,shortAnswer,Do you think the king's questions are important in real life? Give one reason.,1,,,,"The king wanted to answer (based on the reading passage) the right time to do everything, the right thing to do, and the right people to work with.  Any valid reason.",,,,_CQpJB5faaJOWV3XKc5bQ,,,,1,525,,Reading Comprehension,Writing Clear and Organized Ideas,
Grade 7 — English,5,3,English,7,openEnded,shortAnswer,How is the squirrel's tail described in the poem?,1,1,,,"Accurately identifies the tail as having a ""question mark"" shape or other similar acceptable answer.","Accurately describes the tail as ""round and tight like a curl"" or other similar acceptable answer.",,,sbbA3S6SOfiuN9SmCU6LK,6303812f-e810-43cf-a34a-d9f8aba8fdaa,,,526,,,Understanding Stories and Poems,,
Grade 7 — English,6,3,English,7,openEnded,shortAnswer,Describes the poet’s writing style.,1,1,,,"Identifies a suitable and relevant word describing the writing style (e.g., simple, descriptive, informal, direct) or other appropriate word.","Identifies a more precise or insightful word that captures the essence of the style (e.g., narrative, playful, concise) or other",,,VQHLwGiMJIGYqQcRKOR9X,1281a77e-872a-4974-9043-89bb47c724cc,,,526,525,,Understanding Stories and Poems,Writing Clear and Organized Ideas,
Grade 7 — English,7,3,English,7,openEnded,shortAnswer,"""We ran around."" The word ""around"" is used as which part of speech?",1,,,,"Correctly identifies ""around"" as an adverb.",,,,cN5h3_hfAdTXdmcEj0PH6,,,,524,,,Building Correct Sentences and Using Proper Grammar,,
Grade 7 — English,8,3,English,7,multipleChoice,tickmark,She _______ (live) in this city since 2010.,1,,,,Uses the correct verb form 'goes' (present simple tense),,,,IEnWTkTDmBCdikO2eN5dr,,,,524,,,Building Correct Sentences and Using Proper Grammar,,
Grade 7 — English,9,3,English,7,multipleChoice,tickmark,"By next week, I _______ (complete) my science project.",,,,,,,,,,,,,524,,,Building Correct Sentences and Using Proper Grammar,,
Grade 7 — English,10,3,English,7,openEnded,shortAnswer,"Change the sentence to indirect speech: She said, ""I am reading a novel.""",1,,,,Correctly converts to: 'She said that she was reading a novel.' (Other minor variations with correct tense are also accepted.),,,,k5FuHcRHbo48BRud_46Lk,,,,524,,,Building Correct Sentences and Using Proper Grammar,,
Grade 7 — English,11,3,English,7,openEnded,shortAnswer,Identify the adjective phrase in the sentence:\nA tiny bird built its nest in our balcony.,1,,,,"The student correctly identifies ""tiny"" as an adjective.",,,,sr2RUzCTexrqs6Ou2nzn1,,,,524,,,Building Correct Sentences and Using Proper Grammar,,
Grade 7 — English,12,3,English,7,openEnded,shortAnswer,Change the following sentence from Active Voice to Passive Voice:\nThe wind blew the leaves away.,1,,,,"The student correctly transforms the sentence into passive voice: ""The leaves were blown away by the wind.""",,,,bxxUyRE8CNcd6-OFzcyYF,,,,524,,,Building Correct Sentences and Using Proper Grammar,,
Grade 7 — English,13,3,English,7,openEnded,shortAnswer,"Rewrite the whole sentence with appropriate articles (a, an, the):\nI saw _______ elephant and _______ tiger at _______ zoo.",1,,,,"Student rewrites the entire sentence correctly, with all articles placed properly (an elephant, a tiger, the zoo).",,,,DLvtJGa7emv4nyBcGcuMV,,,,524,,,Building Correct Sentences and Using Proper Grammar,,
Grade 7 — English,14,3,English,7,openEnded,shortAnswer,"Write the antonym (opposite word) of the following:\nThe opposite of ""ancient"" is?",1,,,,"The student correctly provides ""modern"" or ""new"" as the antonym for ""ancient.""",,,,jLsvg2MVj2HhjN0dLXRi9,,,,523,,,Vocabulary,,
Grade 7 — English,15,3,English,7,openEnded,shortAnswer,"Write a short paragraph (4-5 sentences) about 'My Favourite Hobby'. Mention what it is, when you do it, and why you enjoy it.",1,1,,,"Student writes a complete paragraph that clearly mentions the hobby, when it is done, and why it is enjoyable.","Sentences are clear, logically connected, and mostly free from grammar, spelling, and punctuation errors, maintaining proper paragraph structure.",,,XqKJI9MDLUhN5qSWUM6By,WWBaljwp4aIn2ayqP1s3z,,,525,,,Writing Clear and Organized Ideas,,
Grade 7 — English,16,3,English,7,openEnded,shortAnswer,"Write a short message to your grandmother, telling her how much you miss her and asking her to visit soon.",1,1,,,Message that clearly express missing grandmother and requesting her to visit soon.,"Sentences are polite, clear, and grammatically correct, with proper message style maintained.",,,qgJtZnUZH5k-IQPCMzYz6,HEsS_jwnJkOV1nGaOlr5w,,,525,,,Writing Clear and Organized Ideas,,
Grade 7 — Maths,1,1,Mathematics,7,openEnded,shortAnswer,Find the value of: `(-3) × (-4)`,1,,,,Correctly multiplies the integers and applies the sign rule (negative × negative = positive) to get the final answer `12`.,,,,CfQWTVWt_U_Cz6EEqvll6,,,,484,,,Understanding and Using Number Properties,,
Grade 7 — Maths,2,1,Mathematics,7,openEnded,shortAnswer,Solve the following equation for `x` : `4x + 2 = 10`,1,,,,"Correctly isolates the variable 'x' through proper algebraic steps (subtracting 2, then dividing by 4) to find the solution `x = 2`.",,,,VGiPDrX79au5QinpjlrVn,,,,489,,,Solving Problems with Algebra (Unknowns),,
